farm_id,date,lat,lon,area_hectares,crop_wheat,crop_corn,crop_soybean,satellite_B02,satellite_B03,satellite_B04,satellite_B08,satellite_B11,satellite_B12,vegetation_NDVI,vegetation_EVI,vegetation_SAVI,vegetation_NDWI,weather_temperature,weather_temperature_rolling_mean,weather_temperature_rolling_std,weather_humidity,weather_humidity_rolling_mean,weather_humidity_rolling_std,weather_precipitation,weather_precipitation_rolling_mean,weather_precipitation_rolling_std,weather_wind_speed,weather_wind_speed_rolling_mean,weather_wind_speed_rolling_std,weather_wind_direction,month,season,disease_type,disease_label,severity,is_diseased
farm_000,2023-01-31,0.6175860376752855,-0.21365342546676336,0.9935065463310865,1,0,0,-0.323112153808927,-1.5992295869444944,0.8342741530025017,-1.6215978340912145,-1.3025769304461834,0.5847186186543616,-1.6762691085336237,-0.19666413999192578,-1.6134100888724792,-0.5638292708600554,0.630680060297358,0.996687748813388,-1.5174819750904813,-1.4062638326610244,-2.10189938620272,-1.712089732880395,-0.25301343653364433,-0.40309453793353645,-1.4177639898427714,-1.5218142553556655,-2.4011919521878453,-1.6990844565983838,0.20090943721246077,1,Winter,Mosaic,3,0.5450834128598901,1
farm_001,2023-01-31,-1.1218289846875766,2.1505165477710175,-1.428215103393916,1,0,0,1.6234339255969072,0.47516709352925984,-1.4877688026175357,0.24496512074460342,1.219250285349939,0.03652038523367645,1.340701057831859,-0.1290865230502507,1.2297499658763709,-0.5779314469271868,0.6350373845042874,1.0035075107619702,-1.5174819750904813,-0.17291688742818495,-0.23526496547861603,-1.712089732880395,1.8066821306622527,2.7660381779001284,-1.4177639898427714,-0.5048414935181206,-0.8000601367908146,-1.6990844565983838,-1.318248767717174,1,Winter,Healthy,0,0.0,0
farm_002,2023-01-31,0.3941461759105672,0.977575629476451,-1.5540625200004847,1,0,0,0.8845093479504573,-0.6291128620602711,-1.2433946477951916,0.27704349489544433,-0.034048322339412095,-0.7298654604229239,1.0904880668397579,-0.24997690609225126,1.038408505869499,0.19662554115783237,0.41291309593883196,0.6558549838727362,-1.5174819750904813,0.44912675505007865,0.7061798394325599,-1.712089732880395,-1.0407692558705703,-1.6151681952788233,-1.4177639898427714,-1.4297806289076609,-2.256293314857571,-1.6990844565983838,0.7328909023386004,1,Winter,Mosaic,3,0.0985468514129424,1
farm_003,2023-01-31,-0.4885558614874656,-0.6148557848216487,0.44912986482590195,0,1,0,0.43404902211912355,0.036822431257673496,1.0806271240635523,0.6116184096963321,0.9792045227521087,0.9758569761840333,-0.20485702836062158,-0.07328396739776541,-0.25934906374440253,-0.23292608874125123,-0.594166134602365,-0.9203510291501993,-1.5174819750904813,-1.471194328696233,-2.200169787181521,-1.712089732880395,1.1749988569585978,1.7941041889055476,-1.4177639898427714,0.7269648704817341,1.1393077930296727,-1.6990844565983838,-1.4437202953558663,1,Winter,Healthy,0,0.0,0
farm_004,2023-01-31,0.13052256350577626,-0.513880640135641,-1.1550014909603314,1,0,0,-1.0613648146136858,1.4049236090980228,0.15936007176367473,0.9180800925155378,-0.6182770246901403,0.5392888015400502,0.3604640125218324,0.018668728591650478,0.3966047959923103,1.0609489514255184,-1.506074082808213,-2.347601981900999,-1.5174819750904813,1.1341675476194792,1.7429689829519113,-1.712089732880395,2.840994559664756,4.357474023736204,-1.4177639898427714,1.696799719114102,2.666225219038476,-1.6990844565983838,0.9169941733348013,1,Winter,Blight,1,0.8237444619122997,1
farm_005,2023-01-31,-0.8243691717584706,-1.5347708697031401,-1.319068184544534,0,0,1,-1.0614463019472695,-0.8522074397287563,-1.7241142247541559,1.7813878072820615,1.1970749165280616,-1.2268018797438902,2.0709248800018325,0.446944247462986,2.141291341824861,0.23623507932054819,-1.4641881688491574,-2.28204524372088,-1.5174819750904813,-0.40270871766274074,-0.5830481594735825,-1.712089732880395,-1.067347237958837,-1.6560621768449622,-1.4177639898427714,0.9727688598066422,1.5263039864660628,-1.6990844565983838,0.23208695432803694,1,Winter,Rust,2,0.4151071768549326,1
farm_006,2023-01-31,-1.407731416233762,1.4716475650986887,-1.4672562377055796,0,1,0,-1.3922283788600778,-0.29984980196047345,-1.43311067813914,0.1929294061404493,-0.4001343461954244,1.3044138324657217,1.2536910103877072,0.13738961301749214,1.1528914283670606,0.4401404388604044,0.8714947243891926,1.3735930707131039,-1.5174819750904813,-1.3358824756784917,-1.995379267084037,-1.712089732880395,-0.25786569937197673,-0.4105604300545349,-1.4177639898427714,-1.6819926843473938,-2.653378429960924,-1.6990844565983838,-0.08316566975767502,1,Winter,Healthy,0,0.0,0
farm_007,2023-01-31,-1.0737758810539215,0.3193007248573913,-1.578626946797355,1,0,0,1.3378303204782083,0.8836841164196971,0.3393487191087166,-0.4753712057377058,-1.5936970718887267,1.0054282040377107,-0.49939604920195935,-1.9474868622602726,-0.5087935056257952,1.4637457348987473,-0.1778020163889327,-0.2686886704871906,-1.5174819750904813,-1.5291422154364094,-2.2878722138308323,-1.712089732880395,-1.0135511955940977,-1.5732893629613198,-1.4177639898427714,-1.313926064447324,-2.0738907608489088,-1.6990844565983838,0.5510717490795649,1,Winter,Healthy,0,0.0,0
farm_008,2023-01-31,0.20535803068823222,0.6189345044277815,-0.6008574178001947,0,0,1,0.4423481513879698,-0.9224787404281665,-1.737156136682437,1.1569091623722365,1.2281746860499656,1.4359037626758595,1.9445961245277896,-0.6335683104492266,1.899453381432463,-0.06644271254250633,0.5226430273898808,0.8275961662112816,-1.5174819750904813,1.660047877294981,2.538873434937815,-1.712089732880395,-0.543579427184567,-0.8501713786795246,-1.4177639898427714,-0.7308792869375871,-1.1559362389905539,-1.6990844565983838,1.3217439435137701,1,Winter,Healthy,0,0.0,0
farm_009,2023-01-31,0.40645661849409503,-0.7293248242116663,0.6698949490845664,1,0,0,0.8036934448029691,-1.4430424740909753,-1.2459827492995348,-0.6555406017271634,-1.3399177720427173,0.6779349317435865,0.5146734050342784,-0.07120596884916106,0.4610005673138341,0.8649739126269307,1.2597734064601338,1.9812981795553846,-1.5174819750904813,-1.2860717089803775,-1.9199921329116607,-1.712089732880395,-0.5319223765402564,-0.8322353588349469,-1.4177639898427714,-1.299752921463818,-2.0515764265750396,-1.6990844565983838,1.154135832199763,1,Winter,Healthy,0,0.0,0
